,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,‘Āhuimanu,21.44,-157.84,87.8,66,20,12.75,US,1602466119
1,Hermanus,-34.42,19.23,53.01,78,57,4.0,ZA,1602465941
2,Port Alfred,-33.59,26.89,53.78,68,5,7.2,ZA,1602466123
3,Jamestown,42.1,-79.24,62.01,72,90,6.93,US,1602465971
4,Saskylakh,71.92,114.08,17.51,95,84,8.14,RU,1602466127
5,Genhe,50.78,121.52,29.86,82,0,11.07,CN,1602466129
6,Evensk,61.95,159.23,37.17,72,59,0.96,RU,1602466134
7,Elmvale,44.58,-79.87,48.99,78,0,11.32,CA,1602466136
8,Pio IX,-6.84,-40.58,77.13,37,4,6.29,BR,1602466137
9,Butaritari,3.07,172.79,81.16,74,0,12.82,KI,1602466139
10,Nosy Varika,-20.58,48.53,73.74,90,40,7.52,MG,1602466141
11,Sitka,57.05,-135.33,48.2,76,90,9.17,US,1602466143
12,Ushuaia,-54.8,-68.3,44.6,56,32,14.99,AR,1602466102
13,Longyearbyen,78.22,15.64,24.8,62,75,4.7,SJ,1602466040
14,Rāwah,34.48,41.91,68.38,23,0,4.85,IQ,1602466150
15,Henties Bay,-22.12,14.28,54.0,91,0,2.95,NA,1602466153
16,Rikitea,-23.12,-134.97,74.28,77,0,11.14,PF,1602466155
17,Bathsheba,13.22,-59.52,82.4,78,75,9.17,BB,1602466157
18,Mar del Plata,-38.0,-57.56,52.0,93,40,11.41,AR,1602466067
19,Shambu,9.57,37.1,49.69,95,1,1.83,ET,1602466161
20,Ilulissat,69.22,-51.1,37.4,86,100,5.82,GL,1602466070
21,Oleksandrivka,46.84,32.76,55.4,100,57,4.47,UA,1602466165
22,Ozernovskiy,51.5,156.52,46.89,58,0,4.72,RU,1602466167
23,Hong Kong,22.29,114.16,82.99,71,52,5.01,HK,1602465924
24,Mataura,-46.19,168.86,55.0,69,100,8.01,NZ,1602466171
25,Los Llanos de Aridane,28.66,-17.92,73.4,73,90,11.41,ES,1602466021
26,San Luis,-33.3,-66.34,58.48,33,0,10.2,AR,1602466175
27,Avarua,-21.21,-159.78,77.0,83,56,3.36,CK,1602465967
28,Bilibino,68.05,166.44,19.22,88,20,1.86,RU,1602466179
29,Sokolo,14.73,-6.12,82.58,50,43,4.43,ML,1602466181
30,Busselton,-33.65,115.33,61.0,77,0,6.58,AU,1602466020
31,Bredasdorp,-34.53,20.04,46.4,87,100,3.36,ZA,1602466185
32,Atar,20.52,-13.05,89.08,20,0,2.15,MR,1602466187
33,Broken Hill,-31.95,141.43,73.4,27,100,5.82,AU,1602466189
34,New Norfolk,-42.78,147.06,64.0,58,97,1.01,AU,1602466192
35,Lavumisa,-27.31,31.89,57.06,83,100,3.83,SZ,1602465964
36,Lüderitz,-26.65,15.16,62.42,36,0,13.09,NA,1602466197
37,Tasiilaq,65.61,-37.64,33.8,86,100,3.36,GL,1602465905
38,Bluff,-46.6,168.33,55.0,69,80,8.01,NZ,1602466200
39,Labuhan,-6.88,112.21,86.63,57,16,5.97,ID,1602466202
40,Tuatapere,-46.13,167.68,55.0,69,99,8.01,NZ,1602466206
41,Lavrentiya,65.58,-171.0,36.79,80,96,16.37,RU,1602466208
42,Colesberg,-30.72,25.1,37.58,81,0,5.55,ZA,1602466210
43,Punta Arenas,-53.15,-70.92,44.01,70,27,8.05,CL,1602466156
44,Leningradskiy,69.38,178.42,28.0,96,96,2.04,RU,1602466214
45,Nikolskoye,59.7,30.79,52.0,93,75,2.37,RU,1602466216
46,Ondjiva,-17.07,15.73,61.38,25,0,6.71,AO,1602466217
47,Atherton,53.52,-2.49,48.0,82,100,1.99,GB,1602466219
48,Winkler,49.18,-97.94,57.2,58,40,17.22,CA,1602466204
49,Yangi Marg`ilon,40.43,71.72,50.0,81,0,1.72,UZ,1602465995
50,Clyde River,70.47,-68.59,30.2,100,90,4.7,CA,1602466048
51,Vila Velha,-20.33,-40.29,75.99,88,90,5.82,BR,1602466227
52,Iqaluit,63.75,-68.51,33.8,92,75,16.11,CA,1602466166
53,Barrow,71.29,-156.79,24.8,73,90,8.05,US,1602466233
54,Ancud,-41.87,-73.82,48.0,81,40,9.17,CL,1602466235
55,Annau,37.89,58.52,44.6,45,0,9.17,TM,1602466238
56,Itarema,-2.92,-39.92,77.5,83,0,12.71,BR,1602466240
57,Ribeira Grande,38.52,-28.7,67.78,68,14,11.63,PT,1602466230
58,Puerto Ayora,-0.74,-90.35,70.0,89,92,5.01,EC,1602466234
59,Gravdal,68.12,13.5,44.94,69,42,10.36,NO,1602466246
60,Saint George,37.1,-113.58,80.6,25,1,16.11,US,1602466250
61,Naze,28.37,129.48,80.6,61,40,9.17,JP,1602466252
62,Mehamn,71.04,27.85,41.0,88,100,7.47,NO,1602466032
63,Sistranda,63.73,8.83,48.2,87,75,5.82,NO,1602466244
64,Port Elizabeth,-33.92,25.57,48.2,93,0,7.18,ZA,1602466226
65,George Town,5.41,100.34,82.4,83,20,3.36,MY,1602465988
66,Hasaki,35.73,140.83,70.0,100,75,14.99,JP,1602466261
67,East London,-33.02,27.91,54.55,68,1,6.08,ZA,1602466227
68,Acapulco de Juárez,16.86,-99.89,82.4,78,40,5.82,MX,1602466049
69,Hithadhoo,-0.6,73.08,81.32,77,100,14.61,MV,1602466231
70,Santa Fe,-31.63,-60.7,60.73,48,0,4.97,AR,1602466053
71,Rrëshen,41.77,19.88,57.2,87,40,3.36,AL,1602466273
72,Mahébourg,-20.41,57.7,73.4,78,75,5.82,MU,1602466244
73,Qaanaaq,77.48,-69.36,33.55,81,100,6.15,GL,1602466240
74,Havre-St-Pierre,50.23,-63.6,37.4,64,40,13.87,CA,1602466282
75,Kahului,20.89,-156.47,89.6,52,40,21.92,US,1602466272
76,Vaini,-21.2,-175.2,77.0,83,40,12.75,TO,1602466230
77,Batagay,67.63,134.63,23.22,90,94,2.62,RU,1602466286
78,Hambantota,6.12,81.12,77.0,100,20,4.7,LK,1602466287
79,Albany,42.6,-73.97,46.0,50,100,3.18,US,1602466228
80,Marsabit,2.33,37.99,66.24,89,21,18.1,KE,1602466289
81,Castro,-24.79,-50.01,53.08,97,3,6.51,BR,1602466243
82,Hilo,19.73,-155.09,86.0,58,1,6.93,US,1602465878
83,Nuuk,64.18,-51.72,39.2,69,100,6.93,GL,1602466296
84,Saint Paul Harbor,57.79,-152.41,44.6,75,90,5.82,US,1602466239
85,Gachsaran,30.36,50.8,62.6,42,0,4.74,IR,1602466300
86,Kidal,18.44,1.41,86.77,25,90,11.41,ML,1602466302
87,Nyurba,63.28,118.33,25.02,91,75,3.02,RU,1602466304
88,Murgab,37.5,61.97,42.8,60,0,5.61,TM,1602466297
89,Bethel,41.37,-73.41,57.2,71,90,6.93,US,1602466279
90,Castelnaudary,43.32,1.95,51.01,87,90,18.34,FR,1602466310
91,Port Moresby,-9.44,147.18,84.25,68,25,7.38,PG,1602466312
92,Guerrero Negro,27.98,-114.06,69.94,80,0,17.4,MX,1602466276
93,Ambilobe,-13.2,49.05,74.7,79,0,3.74,MG,1602466286
94,Vardø,70.37,31.11,41.88,87,100,12.93,NO,1602466230
95,Turbat,26.0,63.04,73.27,18,0,26.13,PK,1602466322
96,Thompson,55.74,-97.86,44.6,87,75,2.24,CA,1602466255
97,Atuona,-9.8,-139.03,78.37,72,0,17.92,PF,1602466232
98,Touros,-5.2,-35.46,73.4,88,20,3.36,BR,1602466281
99,Olden,61.84,6.81,37.99,97,88,1.81,NO,1602466330
100,Sydney,-33.87,151.21,73.99,68,40,11.41,AU,1602466160
101,Great Bend,38.36,-98.76,79.0,56,1,6.93,US,1602466097
102,Loreto,22.27,-101.97,67.51,31,100,10.92,MX,1602466338
103,Saint-Philippe,-21.36,55.77,70.0,73,40,5.82,RE,1602466239
104,Flinders,-34.58,150.86,68.0,79,51,7.0,AU,1602466340
105,Holly Springs,35.65,-78.83,69.01,97,76,6.08,US,1602466342
106,Cape Town,-33.93,18.42,53.01,87,92,2.24,ZA,1602466101
107,Qingdao,36.1,120.37,64.99,55,80,13.42,CN,1602466347
108,Salò,45.61,10.53,51.01,93,90,6.93,IT,1602466350
109,Tumpat,6.2,102.17,82.4,78,20,2.24,MY,1602466353
110,Saint-Pierre,-21.34,55.48,70.0,73,0,5.82,RE,1602466081
